code_commune;zone_densite
07042;urbain
07044;rural
07045;rural
07047;rural
07048;rural
07049;rural
07050;rural
07051;urbain
07052;rural
07053;rural
07054;rural
07055;urbain
07056;rural
07058;rural
07059;rural
07060;rural
07061;rural
07062;rural
07063;rural
07064;rural
07065;rural
07066;rural
07067;rural
07068;rural
07069;rural
07070;urbain
07071;rural
07072;rural
07073;rural
07074;rural
07075;rural
07076;rural
07077;rural
07078;urbain
07079;rural
07080;rural
07081;rural
07082;rural
07083;rural
07084;rural
07085;rural
07086;rural
07087;rural
07088;rural
07089;rural
07090;rural
07091;rural
07092;rural
07093;rural
07094;rural
07095;rural
07096;rural
07097;urbain
07098;rural
07099;rural
07100;rural
07101;rural
07102;urbain
07103;rural
07104;rural
07105;rural
07106;rural
07107;rural
07108;rural
07109;rural
07110;rural
07111;rural
07112;rural
07113;rural
07114;rural
07115;rural
07116;urbain
07117;rural
07118;rural
07119;rural
07120;rural
07121;rural
07122;rural
07123;rural
07124;rural
07126;rural
07127;rural
07128;rural
07129;rural
07130;rural
07131;rural
07132;rural
07133;rural
07134;rural
07136;rural
07137;rural
07138;rural
07139;rural
07140;rural
07141;rural
07142;rural
07143;rural
07144;rural
07145;rural
07146;rural
07147;rural
07148;rural
07149;rural
07150;rural
07151;rural
07152;urbain
07153;rural
07154;rural
07155;rural
07156;rural
07157;rural
07158;rural
07159;rural
07160;rural
07161;rural
07162;rural
07163;rural
07165;rural
07166;rural
07167;rural
07168;rural
07169;rural
07170;rural
07171;rural
07172;rural
07173;rural
07174;rural
07175;rural
07176;rural
07177;rural
07178;rural
07179;rural
07181;rural
07182;rural
07183;rural
07184;rural
07185;rural
07186;urbain
07187;rural
07188;rural
07189;rural
07190;rural
07191;urbain
07192;rural
07193;rural
07194;rural
07195;rural
07196;rural
07197;urbain
07198;rural
07199;rural
07200;rural
07201;rural
07202;rural
07203;rural
07204;rural
07205;rural
07206;rural
07207;rural
07208;rural
07209;rural
07210;rural
07211;rural
07212;rural
07213;rural
07214;rural
07215;rural
07216;rural
07217;rural
07218;rural
07219;rural
07220;rural
07221;rural
07222;rural
07223;rural
07224;rural
07225;rural
07226;rural
07227;rural
07228;rural
07229;urbain
07230;rural
07231;urbain
07232;rural
07233;rural
07234;rural
07235;rural
07236;rural
07237;rural
07238;rural
07239;rural
07240;urbain
07241;rural
07242;rural
07243;rural
07244;rural
07245;urbain
07247;rural
07248;rural
07249;rural
07250;rural
07251;rural
07253;rural
07254;rural
07255;rural
07257;rural
07258;rural
07259;rural
07260;rural
07261;urbain
07262;rural
07263;rural
07264;rural
07265;rural
